,Country/Region,Region,Subregion,5/13/20,daily
200,South Africa,Africa,Southern Africa,219,13
98,Egypt,Africa,Northern Africa,556,12
34,Cameroon,Africa,Middle Africa,136,11
203,Sudan,Africa,Northern Africa,90,10
255,Sierra Leone,Africa,Western Africa,26,7
