,Country/Region,Region,Subregion,5/17/20,daily
200,South Africa,Africa,Southern Africa,15515,1160
98,Egypt,Africa,Northern Africa,12229,510
173,Nigeria,Africa,Western Africa,5959,338
2,Algeria,Africa,Northern Africa,7019,198
163,Morocco,Africa,Northern Africa,6870,129
